Product Name,Price,Rating,Reviews,Product Link,Image URL
Apple Airpods 4 (Renewed),,4.3,936,https://www.amazon.com/Apple-A3053-Airpods-4-Renewed/dp/B0DJMFS75S/ref=sr_1_1?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-1,https://m.media-amazon.com/images/I/41JfdFBHleL._AC_UY218_.jpg
"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, with Active Noise Cancellation (Renewed)",,4.4,720,https://www.amazon.com/Apple-Wireless-Bluetooth-Headphones-Cancellation/dp/B0DLY219Q7/ref=sr_1_2?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-2,https://m.media-amazon.com/images/I/41JfdFBHleL._AC_UY218_.jpg
Apple AirPods Pro Wireless Earbuds with MagSafe Charging Case (Renewed),,3.5,4600,https://www.amazon.com/Apple-AirPods-Wireless-Earbuds-Charging/dp/B0B844T634/ref=sr_1_3?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-3,https://m.media-amazon.com/images/I/41hofkZHlvL._AC_UY218_.jpg
Apple AirPods Pro (3nd Generation) (Renewed),,4.4,160,https://www.amazon.com/Apple-AirPods-Pro-Generation-Renewed/dp/B0FRB8FXK5/ref=sr_1_4?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-4,https://m.media-amazon.com/images/I/61solmQSSlL._AC_UY218_.jpg
"Wireless Earbuds, Bluetooth 5.3 Headphones HiFi Stereo 50H Playback LED Digital Display Ear Buds with ENC Noise Canceling Headset, IPX7 Waterproof Earphones for Gym/Running/Work (White)",5555.95,4.8,127,https://www.amazon.com/Fhumsh-Bluetooth-Headphones-Canceling-Waterproof/dp/B0H2VWNKN6/ref=sr_1_5?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-5,https://m.media-amazon.com/images/I/61P4QAI28CL._AC_UY218_.jpg
Bucephalus,4448.66,4.6,88,https://www.amazon.com/Bucephalus-Bluetooth-Touchscreen-Cancelling-Compatible/dp/B0H1BGYMD5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-6,https://m.media-amazon.com/images/I/61UhjNWNvbL._AC_UY218_.jpg
HAOYUYAN,6949.81,4.7,261,https://www.amazon.com/HAOYUYAN-Bluetooth-Headphones-Canceling-Waterproof/dp/B0H35GBG5V/ref=sr_1_7?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-7,https://m.media-amazon.com/images/I/71cmAChhQKL._AC_UY218_.jpg
"Wireless Earbuds, Bluetooth 5.4 Headphones Bass Stereo, Ear Buds with Noise Cancelling Mic, LED Display in Ear Earphones Clear Calls, IP7 Waterproof Bluetooth Earbuds for Phones/Sports/Laptop, White",6674.38,4.4,58100,https://www.amazon.com/Bluetooth-Headphones-Cancelling-Earphones-Waterproof/dp/B0FHWKYT89/ref=sr_1_8?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-8,https://m.media-amazon.com/images/I/61HyQ94QVGL._AC_UY218_.jpg
Apple AirPods Pro (2nd generation) with MagSafe Charging Case (USB-C) (Renewed),39781.96,4.4,2400,https://www.amazon.com/Apple-AirPods-generation-MagSafe-Charging/dp/B0CP4CG1ZB/ref=sr_1_9?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-9,https://m.media-amazon.com/images/I/61SUj2aKoEL._AC_UY218_.jpg
Apple AirPods 2 with Charging Case - White (Renewed),21169.38,3.9,19000,https://www.amazon.com/Apple-AirPods-Charging-Case-Renewed/dp/B07SKLLYTW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.l29loPBQiJ0AgK63OlV2F1w4ZtL-y0vVsaTEcyt7-ybVCLfcIStHFW0n8kZRr120KxUsMT09jGLVy4zqt-c3IMPkRDqaKF30vrgZY0A2jtYL0GLzf9RSZPSce_rpYE6Hy6i156OWoPR3uv77I3m7KZIayzALLlBPSYgUMuUPc-KvtT0ZtCK5gWQReFfxpTD93IducUVKLSMH34W5TDJXSMOF1KgkrM3sLuFMCGtzxUU.Q4bPpR9XLArgRTZIXITr55Kus48AsgpcwZyBkQ_tQmA&dib_tag=se&keywords=apple+airpods&qid=1782668805&sr=8-10,https://m.media-amazon.com/images/I/41XjE57VLvL._AC_UY218_.jpg
